id,advertiser,started,days_running,hook,offer,copy,domain,cta
28653988810897996,Omega Choices,"Sep 20, 2026",0,direct_offer,other_product,Omega Choices | Best Daily Deals Across Categories,,
1042535718829869,Comfrt,"Sep 20, 2026",0,curiosity_claim,other_product,A Pillow You Don't Have to Carry,,
1602576378315733,Alphatech Apparel,"Sep 20, 2026",0,curiosity_claim,other_product,The Ultimate Snow Hoodie,,
1641883424115497,Angel Garcia,"Sep 20, 2026",0,direct_offer,other_product,AirPods Pro Gen 3,,
2367876897085532,NEYOA,"Sep 20, 2026",0,direct_offer,other_product,Shop AirPods Pro 3 & AirPods 2nd Generation,,
1630486812056170,Matt Goodell,"Sep 20, 2026",0,direct_offer,other_product,Apple AirPods Pro Charging Case and Single Earbud Left,,
28273157185710174,Matt Goodell,"Sep 20, 2026",0,direct_offer,other_product,Apple AirPods Pro,,
1456338179744737,Alejandro Aguilera,"Sep 20, 2026",0,direct_offer,other_product,(Sealed) AirPods Pro 3 With Active Noise Cancellation (ANC) - Great Offer!,,
1716069472831778,PhoneBros- Cash for Phones,"Sep 20, 2026",0,direct_offer,other_product,Paid Same Day - Message Us for a Quote!,,
1073615085516026,sp5.supply_,"Sep 20, 2026",0,direct_offer,other_product,instagram.com,,
1073343082263636,Heddz.co,"Sep 20, 2026",0,direct_offer,other_product,Try the trio for 39% off,,
1081527151529594,Jay Saint,"Sep 20, 2026",0,direct_offer,other_product,Airpods gen 4 - Brand new,,
1095464203072177,Power Plate USA,"Sep 20, 2026",0,,,,,
2617232028728464,Yardsale,"Sep 20, 2026",0,direct_offer,other_product,Shop The Day Bag,,
4619884018332534,Lucas Lucas,"Sep 20, 2026",0,direct_offer,other_product,AirPods 4 with Active Noise Cancellation,,
2822672268104885,Servicell Reynosa,"Sep 20, 2026",0,,,,,
1110780611673672,Lenovra,"Sep 20, 2026",0,direct_offer,other_product,Apple AirPods Pro 3,,
1574348157720120,Hypnotherapy with Kure,"Sep 20, 2026",0,curiosity_claim,other_product,Press play. Close your eyes. Change everything 🙆‍♂️,,
1794873385268488,Kure for Hypnotherapy,"Sep 20, 2026",0,curiosity_claim,other_product,Press play. Close your eyes. Change everything 🙆‍♂️,,
3863376620468726,Kure for Hypnotherapy,"Sep 20, 2026",0,curiosity_claim,other_product,Press play. Close your eyes. Change everything 🙆‍♂️,,
2619604288490690,Kure for Hypnotherapy,"Sep 20, 2026",0,curiosity_claim,other_product,Press play. Close your eyes. Change everything 🙆‍♂️,,
1748296616217443,Kure for Hypnotherapy,"Sep 20, 2026",0,curiosity_claim,other_product,Press play. Close your eyes. Change everything 🙆‍♂️,,
905921525714359,Kure for Hypnotherapy,"Sep 20, 2026",0,curiosity_claim,other_product,Press play. Close your eyes. Change everything 🙆‍♂️,,
1669754034481617,Kure for Hypnotherapy,"Sep 20, 2026",0,curiosity_claim,other_product,Press play. Close your eyes. Change everything 🙆‍♂️,,
1781791562915706,Happy Hour with Keith and Jenny,"Sep 20, 2026",0,,,,,
1089292590524362,Comfrt,"Sep 20, 2026",0,curiosity_claim,other_product,A Pillow You Don't Have to Carry,,
1817574532766685,Comfrt,"Sep 20, 2026",0,curiosity_claim,other_product,A Pillow You Don't Have to Carry,,
1739055324066368,Comfrt,"Sep 20, 2026",0,curiosity_claim,other_product,A Pillow You Don't Have to Carry,,
1114876268185253,Comfrt,"Sep 20, 2026",0,curiosity_claim,other_product,A Pillow You Don't Have to Carry,,
2305989836840764,Comfrt,"Sep 20, 2026",0,curiosity_claim,other_product,A Pillow You Don't Have to Carry,,
1068117096129325,Comfrt,"Sep 20, 2026",0,curiosity_claim,other_product,A Pillow You Don't Have to Carry,,
1568475251250356,Comfrt,"Sep 20, 2026",0,curiosity_claim,other_product,A Pillow You Don't Have to Carry,,
1467796081832080,Comfrt,"Sep 20, 2026",0,direct_offer,other_product,Your New Everyday Layer,,
2173245786943094,Comfrt,"Sep 19, 2026",1,direct_offer,other_product,Your New Everyday Layer,,
2146254872941002,Comfrt,"Sep 19, 2026",1,direct_offer,other_product,Waffle Lounge Sets You'll Love,,
1769314910782226,Comfrt,"Sep 19, 2026",1,direct_offer,other_product,Waffle Lounge Sets You'll Love,,
1954194982651772,Comfrt,"Sep 19, 2026",1,direct_offer,other_product,Waffle Lounge Sets You'll Love,,
1481089823829248,Comfrt,"Sep 19, 2026",1,direct_offer,other_product,Waffle Lounge Sets You'll Love,,
1749935296211130,Comfrt,"Sep 19, 2026",1,direct_offer,other_product,Waffle Lounge Sets You'll Love,,
1079597841524490,Comfrt,"Sep 19, 2026",1,direct_offer,other_product,Your New Everyday Layer,,
1068359849450716,Comfrt,"Sep 19, 2026",1,direct_offer,other_product,Waffle Lounge Sets You'll Love,,
1823211902450521,Comfrt,"Sep 19, 2026",1,direct_offer,other_product,Your New Everyday Layer,,
2005080096868063,Comfrt,"Sep 19, 2026",1,direct_offer,other_product,Your New Everyday Layer,,
1741755267054050,Comfrt,"Sep 19, 2026",1,direct_offer,other_product,Your New Everyday Layer,,
3807171142754853,Comfrt,"Sep 19, 2026",1,direct_offer,other_product,Waffle Lounge Sets You'll Love,,
2270867723317828,Comfrt,"Sep 19, 2026",1,direct_offer,other_product,Waffle Lounge Sets You'll Love,,
2289911708442547,Comfrt,"Sep 19, 2026",1,direct_offer,other_product,Your New Everyday Layer,,
1152778457078900,Comfrt,"Sep 19, 2026",1,direct_offer,other_product,Your New Everyday Layer,,
1399894461567443,Comfrt,"Sep 19, 2026",1,direct_offer,other_product,Your New Everyday Layer,,
1614319307140776,J7506v-en.myshopify.com,"Sep 20, 2026",0,direct_offer,other_product,carlito-store-4.myshopify,,
1824139528946976,J7506v-en.myshopify.com,"Sep 20, 2026",0,direct_offer,other_product,carlito-store-4.myshopify,,
1089407473809287,Heddz.co,"Sep 20, 2026",0,direct_offer,other_product,Try the trio for 39% off,,
934641679707973,Heddz.co,"Sep 20, 2026",0,direct_offer,other_product,Try the trio for 39% off,,
1613837896864634,Heddz.co,"Sep 20, 2026",0,direct_offer,other_product,Try the trio for 39% off,,
1417687706987125,The Inexcepted Co,"Sep 20, 2026",0,,,,,
1066444952762967,Ypzvx,"Sep 20, 2026",0,,,,,
1634942098080747,Ypzvx,"Sep 20, 2026",0,,,,,
965007409992118,Ypzvx,"Sep 20, 2026",0,,,,,
991104333997622,Ypzvx,"Sep 20, 2026",0,,,,,
1256609843297816,Ypzvx,"Sep 20, 2026",0,,,,,
1804794663885542,Ypzvx,"Sep 20, 2026",0,,,,,
2453156815208116,Salvador Mata,"Sep 20, 2026",0,direct_offer,other_product,AirPods Max,,
1453522870172605,Live Translator GP,"Sep 20, 2026",0,curiosity_claim,saas_subscription,🌍Традиция в реальном времени с вашим телефоном или вашими AirPods.,,
1095915376246623,Live Translator GP,"Sep 20, 2026",0,curiosity_claim,saas_subscription,🌍Традиция в реальном времени с вашим телефоном или вашими AirPods.,,
1410156334406896,Live Translator GP,"Sep 20, 2026",0,direct_offer,saas_subscription,🌍Real-Time Translation with Your Phone or AirPods.,,
942884865538034,Live Translator GP,"Sep 20, 2026",0,direct_offer,saas_subscription,🌍Real-Time Translation with Your Phone or AirPods.,,
1092710189862756,Live Translator GP,"Sep 20, 2026",0,direct_offer,saas_subscription,🌍Real-Time Translation with Your Phone or AirPods.,,
1106578908982901,Live Translator GP,"Sep 20, 2026",0,direct_offer,other_product,🌍Real-Time Translation with Your Phone or AirPods.,,
1537515114846311,Speak Without Borders,"Sep 20, 2026",0,direct_offer,saas_subscription,🌍Real-Time Translation with Your iPhone or AirPods.,,
4620417998179636,Speak Without Borders,"Sep 20, 2026",0,direct_offer,saas_subscription,🌍Real-Time Translation with Your iPhone or AirPods.,,
2155969968289560,Speak Without Borders,"Sep 20, 2026",0,direct_offer,saas_subscription,🌍Real-Time Translation with Your iPhone or AirPods.,,
1991668948149848,Speak Without Borders,"Sep 20, 2026",0,direct_offer,saas_subscription,🌍Real-Time Translation with Your iPhone or AirPods.,,
2069139830377102,InstantTranslator 01,"Sep 20, 2026",0,,,,,
1770953937448865,InstantTranslator 01,"Sep 20, 2026",0,,,,,
